,,,,,,,
TC_ID,Название,Приоритет,Предусловия,Шаги,Ожидаемый результат,Покрытие,Причина отсутствия покрытия
,,,,"2. Перейти на экран ""Все новости""","2. Страница ""Все новости"" открылась",,
,,,,3. Выполнить свайп вниз,3. Началась загрузка обновлений,,
,,,,4. Дождаться окончания загрузки,"4. Обновление не удалось, сообщение об отсутствии сети.",,
TC008,Сортировка новостей по дате от большей к меньшей и от меньшей к большей,high,"Пользователь авторизован, есть новости","1. На экране новостей нажать на кнопку ""Сортировка по датам""",1. Новости сортируются по дате публикации от меньшей к большей.,Да,
,,,,"2. Снова нажать на кнопку ""Сортировка по датам"".",2. Новости сортируются по дате публикации от большей к меньшей.,,
TC009,Обработка ошибки сети при загрузке новостей,medium,"Пользователь авторизован, сеть отключена",1. Отключить сеть. ,1. Сеть отключена,Нет,
,,,,"1. Отключить сеть. 
2. Открыть приложение.","2. Отображается понятный экран ошибки, приложение не крашится.",,
TC010,"Фильтрация новостей по критериям ""Категория""",medium,"Пользователь авторизован, есть новости","1. Перейти на страницу ""Все новости""","1. Открылась страница ""Все новости""",Нет,Фильтрация новостей по «Категория» — может требовать ручной проверки корректности отображения меню и результатов
,,,,"2. Нажать на кнопку ""Фильтр""",2. Открылось меню фильтрации новостей,,
,,,,3. Выбрать категорию новостей,3. Выбрана валидная категория новостей,,
,,,,"4. Нажать на кнопку ""Фильтровать""",4. В разделе новости видимыми остались только новости указанной категории.,,
TC011,"Фильтрация новостей по критериям ""Дата, месяц, год""",medium,"Пользователь авторизован, есть новости","1. Перейти на страницу ""Все новости""","1. Страница ""Все новости"" успешно открыта.",Нет,"Фильтрация новостей по «Дата, месяц, год» — ручная валидация выбора и результатов фильтрации."
,,,,"2. Нажать на кнопку ""Фильтр""",2. Открылось меню фильтрации новостей,,
,,,,3. Выбрать дату новостей,3. Дата новостей успешно выбрана,,
,,,,"4. Нажать на кнопку ""Фильтровать""",4. В разделе новости видимыми остались только новости указанной даты.,,
TC012,Создание новости через панель управления,high,Пользователь авторизован,"1. Перейти на страницу ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,"2. Нажать на кнопку ""Панель управления""","2. Успешно открылась ""Панель управления""",,
,,,,"3. Нажать на кнопку ""Создать новость""",3. Открывается меню создания новости,,
,,,,"4. Выбрать категорию, дату публикации, время публикации, описание новости.",4. Выбраны валидные значения во всех полях,,
,,,,"5. Нажать на кнопку ""Сохранить""",5. Новость публикуется в указанную дату и время.,,
TC013,Редактирование новости через панель управления,high,Пользователь авторизован,"1. Перейти на экран ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,"2. Нажать на кнопку ""Панель управления""","2. Успешно открылась ""Панель управления""",,
,,,,"3. Выбрать ""Редактирование"" в первой новости",3. Открывается меню редактирования новости,,
,,,,4. Изменить описание новости,4. Новость после обновления имеет новое описание.,,
ТС014,Удаление новости,high,Пользователь авторизован,"1. Перейти на экран ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,"2. Нажать на кнопку ""Панель управления""","2. Успешно открылась ""Панель управления""",,
,,,,"3. В первой новости нажать на кнопку ""Удалить""",3. Появляется всплавыющее окно с подтверждением действия,,
,,,,"4. Во всплывающем окне выбрать кнопку ""Ок"".",4. Новость удалена из списка новостей,,
ТС015,"Перевод новости в статус ""Не активна""",high,Пользователь авторизован,"1. Перейти на экран ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,"2. Нажать на кнопку ""Панель управления""","2. Успешно открылась ""Панель управления""",,
,,,,"3. Выбрать ""Редактировать"" в первой новости",3. Открывается меню редактирования новости,,
,,,,"4. Изменить статус новости на ""Не активна"".","4. Новость удалена из списка новостей, в панели управления статус новости ""Не активна"".",,
ТС016,Ошибка создания новости с некорректной категорией,high,Пользователь авторизован,"1. Перейти на экран ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,"2. Нажать на кнопку ""Панель управления""","2. Успешно открылась ""Панель управления""",,
,,,,"3. Нажать на кнопку ""Создать новость""",3. Открывается меню создания новости,,
,,,,"4. Ввести в поле ""Категория"" не существующую категорию",4. Введен текст категории не из списка,,
,,,,"5. Выбрать заголовок, дату публикации, время публикации, описание новости.",5. В полях введены валидные данные,,
,,,,"6. Нажать на кнопку ""Сохранить""","6. Ошибка сохранения новости, понятный текст об ошибке, приложение не крашится.",,
ТС017,Авторизация с незаполненным паролем и валидным логином,high,Приложение установлено,1. Открыть приложение,1. Приложение успешно открылось,Да,
,,,,"2. Ввести в поле ""Логин"" login2","2. Поле ""Логин"" заполнено валидным значением",,
,,,,"3. Оставить поле ""Пароль"" пустым","3. Поле ""Пароль"" не заполнено",,
,,,,"4. Нажать кнопку ""Войти""","4. Ошибка входа в приложение, сообщение об ошибке о незаполненном поле пароля",,
ТС018,Авторизация с незаполненным логином и валидным паролем,high,Приложение установлено,1. Открыть приложение,1. Приложение успешно открылось,Да,
,,,,"2. Оставить поле ""Логин"" пустым","2. Поле ""Логин"" не заполнено",,
,,,,"3. Ввести в поле ""Пароль"" password2","3. Поле ""Пароль"" заполнено валидным значением",,
,,,,"4. Нажать кнопку ""Войти""","4. Ошибка входа в приложение, сообщение об ошибке о незаполненном поле логина",,
ТС019,Обновление главной страницы при добавлении новой новости,low,"1. Приложение установлено
2. Пользователь авторизован",1. Открыть главную страницу приложения,1. Главная страница успешно открыта,Нет,"Обновление главной страницы при добавлении новости с другого устройства — требует внешнего триггера (добавление новости на другом устройстве), сложно автоматизировать."
,,,,2. Добавить новость с другого устройства,2. Новость на другом устройстве добавлена и опубликована,,
,,,,3. Сделать свайп вниз для обновления списка новостей,3. Новость появилась на устройстве тестирования,,
ТС020,Видимость блока новостей на главном экране ,low,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. На главной странице видны опубликованные новости,Нет,Видимость блока новостей на главном экране — визуальная оценка UI.
ТС021,"Сворачивание и разворачивание блока ""Новости"" на главном экране",low,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Нет,Сворачивание/разворачивание блока «Новости» — оценка анимации и корректности состояния UI
,,,,"2. Нажать на кнопку ""Свернуть"" в блоке новостей",2. Новости успешно свернуты,,
,,,,"3. Нажать на кнопку ""Развернуть"" в блоке новости",3. Новости успешно развернуты,,
ТС022,"Переход на страницу ""Все новости"" через выпадающее меню с главной страницы",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Да,
,,,,2. Выбрать выпадающее меню(три полоски),2. Выпадающее меню успешно развернуто,,
,,,,"3. Выбрать страницу ""Новости"".","3. Успешно осуществлен переход на страницу ""Все новости""",,
ТС023,"Переход на страницу ""О приложении"" через выпадающее меню с главной страницы",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Да,
,,,,2. Выбрать выпадающее меню(три полоски),2. Выпадающее меню успешно развернуто,,
,,,,"3. Выбрать страницу ""О приложении"".","3. Успешно осуществлен переход на страницу ""О приложении""",,
ТС024,"Переход на страницу ""Главная"" через выпадающее меню со страницы ""Новости""",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть страницу ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,2. Выбрать выпадающее меню(три полоски),2. Выпадающее меню успешно развернуто,,
,,,,"3. Выбрать страницу ""Главная"".","3. Успешно осуществлен переход на страницу ""Главная""",,
ТС025,"Переход на страницу ""О приложении"" через выпадающее меню со страницы ""Новости""",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть страницу ""Все новости""","1. Страница ""Все новости"" успешно открыта",Да,
,,,,2. Выбрать выпадающее меню(три полоски),2. Выпадающее меню успешно развернуто,,
,,,,"3. Выбрать страницу ""О приложении"".","3. Успешно осуществлен переход на страницу ""О приложении""",,
ТС026,"Переход на страницу ""Главная"" через стрелку назад со страницы ""О приложении""",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Да,
,,,,2. Выбрать выпадающее меню(три полоски),2. Выпадающее меню успешно развернуто,,
,,,,"3. Выбрать страницу ""О приложении"".","3. Успешно осуществлен переход на страницу ""О приложении""",,
,,,,"4. Нажать кнопку""Назад""(стрелочка).","4. Успешно совершен возврат на страницу ""Главная""",,
ТС027,"Переход со страницы ""Новости"" на блок ""Цитаты""",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Да,
,,,,2. Выбрать выпадающее меню(три полоски),2. Выпадающее меню успешно развернуто,,
,,,,"3. Выбрать страницу ""Все новости"".","3. Успешно осуществлен переход на страницу ""Все новости""",,
,,,,"4. Нажать кнопку ""Цитаты"" на тапбаре.","4. Страница ""Цитаты"" успешно открыта",,
ТС028,"Переход со страницы ""Главная"" на блок ""Цитаты""",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Да,
,,,,"2. Нажать кнопку ""Цитаты"" на тапбаре.","2. Страница ""Цитаты"" успешно открыта",,
ТС029,"Выход из системы по кнопке ""Выход"" через аккаунт на тапбаре",high,"1. Приложение установлено
2. Пользователь авторизован","1. Открыть главную страницу приложения
",1. Главная страница успешно открыта,Да,
,,,,"2. Нажать на кнопку ""Аккаунт"" на тапбаре",2. Открыт выпадающий список действий с аккаунтом,,
,,,,"3. Выбрать ""Выход"" в выпадающем списке",3. Всплывает окно с подтверждением действия,,
,,,,"4. Нажать кнопку ""Ок"".",4. Выход из аккаунта упешно выполнен,,
ТС030,Отмена создания новой новости,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Все новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. Нажать на кнопку ""Создать новость""",2. Открылось меню создания новости,,
,,,,"3. Выбрать корректные данные в строках категория, заголовок, дата и время публикации, описание.",3. Все поля заполнены валидными значениями,,
,,,,"4. Нажать на кнопку ""Отмена""",4. Всплывает сообщение подтверждения отмены создания новости,,
,,,,"
5. Нажать ""Ок"" в подтверждении действия ","5. Новость не создана, список новойстей не изменился",,
ТС031,"Перевод новости в статус ""Активна""",high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. На новости со статусом ""Не активна"" нажать редактировать",2. Открылось меню редактирования новости,,
,,,,"3. Перевести чекбокс в режим ""Активна"".","3. Чекбокс перешел на стадию ""Активна""",,
,,,,"4. Нажать на кнопку ""Сохранить""","4. Изменения успешно внесены, статус новости ""Активна""",,
ТС032,"Ошибка создания новости при пустом значении поля ""Категория""",high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. В панели управления вы брать ""Создать новость""",2. Открылось меню создания новости,,
,,,,"3. Заполнить корректно поля: заголовок, дата публикации, время публикации, описание","3. Все поля, кроме ""Категория"", успешно заполнены валидными данными",,
,,,,"4. Нажать кнопку ""Сохранить""","4. Ошибка сохранения новости, корректное описание ошибки заполнения поля ""Категории""",,
ТС033,"Ошибка создания новости при пустом значении поля ""Заголовок""",high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. В панели управления вы брать ""Создать новость""",2. Открылось меню создания новости,,
,,,,"3. Заполнить корректно поля: категория, дата публикации, время публикации, описание","3. Все поля, кроме ""Заголовок"", успешно заполнены валидными данными",,
,,,,"4. Нажать кнопку ""Сохранить"".","4. Ошибка сохранения новости, корректное описание ошибки заполнения поля ""Заголовок""",,
ТС034,"Ошибка создания новости при пустом значении поля ""Дата публикации""",high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. В панели управления вы брать ""Создать новость""",2. Открылось меню создания новости,,
,,,,"3. Заполнить корректно поля: категория, заголовок, время публикации, описание","3. Все поля, кроме ""Дата публикации"", успешно заполнены валидными данными",,
,,,,"4. Нажать кнопку ""Сохранить"".","4. Ошибка сохранения новости, корректное описание ошибки заполнения поля ""Дата публикации""",,
ТС035,"Ошибка создания новости при пустом значении поля ""Время публикации""",high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. В панели управления вы брать ""Создать новость""",2. Открылось меню создания новости,,
,,,,"3. Заполнить корректно поля: категория, заголовок, дата публикации, описание","3. Все поля, кроме ""Время публикации"", успешно заполнены валидными данными",,
,,,,"4. Нажать кнопку ""Сохранить"".","4. Ошибка сохранения новости, корректное описание ошибки заполнения поля ""Время публикации""",,
ТС036,"Ошибка создания новости при пустом значении поля ""Описание""",high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Панель управления""","1. Успешно открылась ""Панель управления""",Да,
,,,,"2. В панели управления вы брать ""Создать новость""",2. Открылось меню создания новости,,
,,,,"3. Заполнить корректно поля: категория, заголовок, дата публикации, время публикации","3. Все поля, кроме ""Описание"", успешно заполнены валидными данными",,
,,,,"4. Нажать кнопку ""Сохранить"".","4. Ошибка сохранения новости, корректное описание ошибки заполнения поля ""Описание""",,
ТС037,"Отсутствие отображения новости при фильтрации с другой, отличной от новости, даты публикации",medium,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Все новости"" нажать на кнопку ""Фильтровать новости""",1. Открывается меню фильтра новостей,Да,
,,,,2. Выбрать дату предыдущего дня.,2. Новости с сегодняшней датой публикации не отображаются,,
ТС038,Ошибка фильтрации новостей по дате(от будущей к вчерашней),medium,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. На странице ""Новости"" нажать кнопку ""Фильтровать новости"".",1. Открывается меню фильтра новостей,Да,
,,,,"2. Выбрать дату ""от"" завтрашним числом, а дату ""до"" - вчерашним.","2. Отображается сообщение об ошибке, дата фильтра введена неправильно",,
ТС039,"Раскрытие/скрытие описания новости на странице ""Все новости""",medium,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Все новости"".","1. На любой новости нажать на стрелочку ""вниз"" для раскрытия описания новости.","1. Описание успешно раскрывается, текст читаем",Да,
,,,,"2. На той же новости нажать на стрелочку""вверх"" для скрытия описания новости.",2. Описание успешно скрыто,,
ТС040,Переход в панель управления,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".","1. Нажать на кнопку ""Панель управления"" на тапбаре.","1. Переход на ""Панель управления"" успешно выполнен",Да,
ТС041,Отсутствие новости в списке после фильтрации по дате с датой из будущего,medium,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Все новости"".","1. Нажать на кнопку ""Создать новость""","1. Успешный переход на страницу ""Создание новости""",Да,
,,,,"2. Выбрать корректные данные для полей: категория, заголовок, время публикации, описание",2. Валидные данные успешно введены в нужные поля,,
,,,,3. Датой публикации указать завтрашний день,3. Дата успешно выбрана,,
,,,,"4. Нажать кнопку ""Сохранить""",4. Новость успешно сохранена,,
,,,,"5. Нажать на кнопку ""Фильтр""","5. Переход на ""Поиск по фильтрам""",,
,,,,6. Выбрать сегодняшнюю дату в фильтре,6. Указана сегодняшняя дата в фильтре,,
,,,,"7. Нажать кнопку ""Сохранить""",7. После сохранения новость с датой из будущего не отображается в списке новостей,,
ТС042,"Отсутствие в списке новости, после изменения даты публикации на завтрашнюю дату",medium,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".",1. Выбрать новость из списка с сегодняшней датой,1. Новость успешно найдена,Да,
,,,,"2. Нажать на ""Редактирование""","2. Отрывается окно ""Редактирования""",,
,,,,3. Изменить дату с текущей на завтрашнюю,3. Дата успешно изменена,,
,,,,"4. Нажать кнопку ""Сохранить""",4. После сохранения новость не отображжается в списке,,
ТС043,Редактирование категории новости и сохранение изменений,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".",1. Выбрать новость из списка,1. Новость успешно выбрана,Да,
,,,,"2. Нажать на ""Редактирование""",2. Отрывается окно редактирования,,
,,,,3. Изменить категорию новости,3. Категория успешно изменена,,
,,,,4. Сохранить изменения,4. После сохранения новость отображается с новой категорией,,
ТС044,Редактирование заголовка новости и сохранение изменений,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Все новости"".",1. Выбрать новость из списка,1. Новость успешно выбрана,Да,
,,,,"2. Нажать на ""Редактирование""",2. Отрывается окно редактирования,,
,,,,3. Изменить заголовок новости,3. Заголовок успешно изменен,,
,,,,4. Сохранить изменения,4. После сохранения новость отображается с новым заголовком,,
ТС045,Редактирование даты публикации новости и сохранение изменений,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".",1. Выбрать новость из списка,1. Новость успешно выбрана,Да,
,,,,"2. Нажать на ""Редактирование""",2. Отрывается окно редактирования,,
,,,,3. Изменить дату публикации новости,3. Дата публикации успешно изменена,,
,,,,4. Сохранить изменения,4. После сохранения новость отображается с новой датой публикации,,
ТС046,Редактирование времени публикации новости и сохранение изменений,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".",1. Выбрать новость из списка,1. Новость успешно выбрана,Да,
,,,,"2. Нажать на ""Редактирование""",2. Отрывается окно редактирования,,
,,,,3. Изменить время публикации новости,3. Время публикации успешно изменено,,
,,,,4. Сохранить изменения,4. После сохранения новость отображается с новым временем публикации,,
ТС047,Редактирование описания новости и сохранение изменений,high,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""Новости"".",1. Выбрать новость из списка,1. Новость успешно выбрана,Да,
,,,,"2. Нажать на ""Редактирование""",2. Отрывается окно редактирования,,
,,,,3. Изменить описание новости,3. Описание успешно изменено,,
,,,,4. Сохранить изменения,4. После сохранения новость отображается с новым описанием,,
ТС048,"Открывание ссылок в разделе ""О приложении""",low,"1. Приложение установлено
2. Пользователь авторизован
3. Пользователь находится на странице ""О приложении""","1. Нажать на ссылку под заголовком ""Политика конфиденциальность""",1. Ссылка успешно открывается,Нет,"Открывание ссылок в «О приложении» — проверка перехода во внешнее приложение/браузер, сложно надёжно автоматизировать."
,,,,"2. Нажать на ссылку под заголовком ""Пользовательское соглашение""",2. Ссылка успешно открывается,,
ТС049,Просмотр отображения цитат,low,"1. Приложение установлено
2. Пользователь авторизован","1. Нажать на кнопку ""Цитаты"" на тапбаре.","1. Успешно совершен переход на страницу ""Цитаты""",Нет,Просмотр отображения цитат — визуальная валидация контента и раскрытия описания.
,,,,2. Пролистать страницу вниз.,2. Цитаты корректно отображаются,,
,,,,3. Раскрыть описание цитаты,"3. Описание новости корректно раскрывается, символы читаемы",,
ТС050,Изменение ориентации экрана на странице авторизации с заполненными полями логин и пароль.,low,"1. Приложение установлено
2. Открыта страница авторизации","1. Ввести в поле ""Логин"" login2",1. Логин успешно введен,Нет,Изменение ориентации экрана — требует реального устройства и проверки сохранения данных при повороте
,,,,"2. Ввести в поле ""Пароль"" password2",2. Пароль успешно введен,,
,,,,3. Повернуть устройство в горизонтальное положение,"3. После поворота телефона и перехода приложения в горизонтальную ориентацию введенные данные сохранены в полях ""Логин"" и ""Пароль""",,
ТС051,Видимость введенных данных в полях логин и пароль при изменении темы со светлой на темную на устройстве.,low,"1. Приложение установлено
2. Открыта страница авторизации",1. На устройстве выбрать темную тему.,1. Устройство успешно переведено на темную тему,Нет,Видимость данных при смене темы (светлая/тёмная) — визуальная проверка читаемости и отображения элементов.
,,,,2. Ввести валидные данные логина и пароля,2. При вводе данных символы корректно отображаются,,
ТС052,"Авторизация с валидными данными, логин и пароль введены с помощь CAPS LOCK",high,"1. Приложение установлено
2. Открыто окно авторизации",1. Включить CAPS LOCK.,1. Функция CAPS LOCK успешно активирована,Нет,"Авторизация с CAPS LOCK — зависит от поведения клавиатуры устройства, лучше проверять вручную."
,,,,2. Ввести валидный пароль,2. Пароль успешно введен,,
,,,,3. Ввести валидный логин,3. Логин успешно введен,,
,,,,"4. Нажать кнопку ""Войти""","4. Ошибка авторизации, неверный логин или пароль",,
ТС053,"Авторизация с валидными данными, перед логином использован пробел",low,"1. Приложение установлено
2. Открыто окно авторизации","1. В поле ""Логин"" ввести пробел и валидный логин",1. Логин успешно введен,Нет,Авторизация с пробелом перед логином — проверка обрезки/учёта пробелов; лучше валидировать вручную
,,,,"2. В поле ""Пароль"" ввести валидный пароль password2",2. Пароль успешно введен,,
,,,,"3. Нажать ""Войти""","3. Вход успешно осуществлен, пробел обрезан",,
ТС054,"Авторизация с валидными данными, перед паролем использован пробел",low,"1. Приложение установлено
2. Открыто окно авторизации","1. В поле ""Логин"" ввести валидный логин",1. Логин успешно введен,Нет,Авторизация с пробелом перед паролем — проверка обрезки/учёта пробелов; лучше валидировать вручную
,,,,"2. В поле ""Пароль"" ввести пробел и валидный пароль password2",2. Пароль успешно введен,,
,,,,"3. Нажать ""Войти""","3. Вход успешно осуществлен, пробел обрезан",,
